,"MeltWater(wt%,calc_from_F)","MeltWater(wt%,calc_from_Cl)",sample
0,2.4547590771749785,2.2881768528232436,Ap1
1,2.0931345672714263,2.5016696615651037,Ap1
2,1.8612480855745654,1.9399680052167394,Ap1
3,2.0445060770093884,1.6787911115103589,Ap1
4,3.079920620242295,2.4856696214047678,Ap1
5,2.7535901842021158,2.358638880039445,Ap1
6,1.9154685370885807,1.5988426963995346,Ap1
7,1.9327869155951911,1.9787492285912085,Ap1
8,1.8524801494760046,1.837568578435062,Ap1
9,1.496801198770118,1.779566110578556,Ap1
10,3.110879751855442,2.876097659413506,Ap1
11,1.4888291070477626,1.2067446373992716,Ap1
12,1.976436684279805,1.6578494254582492,Ap1
13,2.2180138052733502,2.0235671334570426,Ap1
14,1.9365111019793904,1.9497954468891083,Ap1
15,1.7414892865266585,1.930904349049593,Ap1
16,2.6831841293704604,2.613419885820743,Ap1
17,2.2955494825143656,1.8779848566705097,Ap1
18,2.9930381307682996,2.75928339868309,Ap1
19,4.033252448140319,3.9828038857535684,Ap1
20,5.265310743770909,4.059245333254542,Ap1
21,3.385618171975709,2.6127067811808895,Ap1
22,1.9490358940726953,1.6320284194610446,Ap1
23,2.0760959864592294,2.30934587070032,Ap1
24,2.750302480020211,2.5340857725908603,Ap1
25,3.0885418968926786,2.5817290226793816,Ap1
26,2.2362794687180787,2.2806846686011397,Ap1
27,1.2301343521916188,1.2826180156262683,Ap1
28,2.5636044847913406,2.1045453453411267,Ap1
29,2.2461879534038007,1.782423080550516,Ap1
30,1.8765269800430557,1.588153371110978,Ap1
31,2.7904250997775324,2.13054945922811,Ap1
32,2.860062064282544,3.250091629477746,Ap1
33,2.1465960215198265,2.0852336207794706,Ap1
34,1.7347658758467353,1.4469224347922407,Ap1
35,3.7037046184169453,3.5026091463321416,Ap1
36,2.654405094420884,2.287709663737213,Ap1
37,0.9442930323438415,0.8406020951382568,Ap1
38,1.687910075898269,1.5862318995489506,Ap1
39,2.3652476546281123,2.3030029647253314,Ap1
40,1.8068695433162123,1.5612771102799825,Ap1
41,2.37562299947421,2.7550628475888135,Ap1
42,1.1299569034887142,1.0930220736825933,Ap1
43,2.8961522389050134,2.3313932197146334,Ap1
44,1.9281018363248323,1.7258619727004365,Ap1
45,4.052383196667181,3.528282378963828,Ap1
46,1.9212967042607214,2.5716160119354865,Ap1
47,2.5264657527076277,2.880705178449635,Ap1
48,2.4991545297385125,2.608966514218956,Ap1
49,2.0957169337220005,1.7738975523371048,Ap1
50,2.012230097867735,1.6828766614032202,Ap1
51,2.652693133737184,2.779829444072618,Ap1
52,2.1283653628442556,1.9115551075490245,Ap1
53,1.6304827758743086,1.4103855533068244,Ap1
54,1.6564005379606024,1.5566458340693727,Ap1
55,1.6613769958765006,1.4079583620978091,Ap1
56,3.4970341377146648,2.740668426831924,Ap1
57,2.8136408213172417,2.513283011684288,Ap1
58,2.2189385157908625,1.9327717705834067,Ap1
59,5.709089111861223,4.7257118203533715,Ap1
60,2.8796118265891546,2.554399228290324,Ap1
61,1.5422650846310975,1.7734867368276785,Ap1
62,3.115719169791408,2.34826050688294,Ap1
63,3.570153477917843,3.4542554885162704,Ap1
64,1.7101534770831626,1.452108706729345,Ap1
65,2.2543753409718965,2.0113337627128667,Ap1
66,5.623503868292938,5.3268492191305015,Ap1
67,3.223441476955781,2.746495671217028,Ap1
68,3.173016149768751,2.75627961644871,Ap1
69,4.416326628706516,3.982395665847529,Ap1
70,3.9967122597507947,4.689808026182629,Ap1
71,3.8220038823516607,3.0727541961337774,Ap1
72,2.427604384528421,2.0989044376977226,Ap1
73,2.1447885292721027,1.868786891427927,Ap1
74,2.324140430900486,2.119616993553195,Ap1
75,1.7133912141188197,1.576876237204443,Ap1
76,2.269460437809329,2.3398157770614705,Ap1
77,3.7309671229121766,2.90171043272672,Ap1
78,2.9419453515717175,2.892688925276439,Ap1
79,2.5165192391189932,1.8108143785136408,Ap1
80,2.7730091810626902,2.1957186168263076,Ap1
81,2.115972795162861,2.1859815971854863,Ap1
82,3.260231835436606,3.119576096296762,Ap1
83,2.082792528083649,1.864058656277251,Ap1
84,2.4900718587391926,2.9488304221091344,Ap1
85,2.6558029560773,2.3240377126869065,Ap1
86,4.118163773648671,3.624569984694009,Ap1
87,2.0455691293073626,1.9952317971925717,Ap1
88,4.425257655883708,3.8617433804793664,Ap1
89,2.6217081136123235,2.8672794343049643,Ap1
90,1.6452819825085556,1.4095288676483213,Ap1
91,1.6530098529525628,1.5022466977823137,Ap1
92,1.3496701783174607,1.3553533568554144,Ap1
93,4.301683210675707,4.020966464146226,Ap1
94,3.6408065694162453,2.5747712719003704,Ap1
95,1.517355303827596,1.498670110831545,Ap1
96,3.1795951829283617,3.4517971285816538,Ap1
97,2.435800923056409,2.2238475939022386,Ap1
98,2.9559127725123537,2.9348214657744496,Ap1
99,2.245829592734776,2.044408620787613,Ap1
100,2.0759045498665007,1.6349878032137204,Ap1
101,2.1263324226443037,2.1513887172485457,Ap1
102,2.2720259788702317,2.2324352767051563,Ap1
103,3.3387746078173643,2.517827959407323,Ap1
104,2.427596902912265,1.9388411727708876,Ap1
105,1.4748808867742378,1.3038705748201642,Ap1
106,2.171051183283866,1.993042080468422,Ap1
107,2.421516555087559,1.6861813938697985,Ap1
108,1.5089045944844761,1.3124328988873526,Ap1
109,1.9455740915583415,1.4037366824198272,Ap1
110,3.092896177486528,2.5275969893648136,Ap1
111,4.7443123785862875,5.847870584348378,Ap1
112,3.935884411874444,3.560679836581071,Ap1
113,1.4631981383706847,1.3199962270286616,Ap1
114,2.0277084221909685,2.072199840791618,Ap1
115,1.9305473625197225,1.6630690450161312,Ap1
116,2.245181440877585,2.123088816153087,Ap1
117,2.8187858773120484,2.4809149453527586,Ap1
118,2.245026321672995,2.08688500903228,Ap1
119,3.0338517957048454,2.4215490070784154,Ap1
120,3.2724893952986083,3.062666949249244,Ap1
121,2.873577283140947,3.4846706456000023,Ap1
122,2.6589925105007475,2.564705336684141,Ap1
123,1.9777786448217618,1.790594087816051,Ap1
124,2.110748307235586,1.7589848373720185,Ap1
125,1.574538326850242,1.4030100627069795,Ap1
126,3.257994239028371,2.610987324927711,Ap1
127,2.1682657971247297,2.324577169005023,Ap1
128,1.2219071630506733,1.187016173460303,Ap1
129,3.6208343544415085,2.4285021316004842,Ap1
130,4.325746000944111,4.583804939595526,Ap1
131,2.27794315215852,2.3021456645796605,Ap1
132,1.6222334561178942,1.4564911007640469,Ap1
133,3.559841760599546,3.194574054429088,Ap1
134,2.677038461194608,2.8296794385214294,Ap1
135,3.03234904391317,2.900831680363379,Ap1
136,2.368863507461899,2.3557841329322335,Ap1
137,2.498486858871168,2.211481939120634,Ap1
138,2.1507989839833908,1.8464225969140684,Ap1
139,4.561272087542307,4.47179329644793,Ap1
140,2.1862928507894277,2.296839329423313,Ap1
141,3.936225444207809,3.0816850138022525,Ap1
142,2.7368030524333227,3.30851432966835,Ap1
143,2.524497019708954,2.4911185816256993,Ap1
144,2.7823239914755176,2.59067124510727,Ap1
145,2.2279429891588767,2.2726769537669393,Ap1
146,3.255187710517937,2.680951045497373,Ap1
147,2.98686677688849,3.1017429169944104,Ap1
148,3.231131948459694,2.9498298038390685,Ap1
149,2.684594698383503,2.0490152570578966,Ap1
150,2.332335571569542,2.5229735093978185,Ap1
151,1.887535444574286,1.6576237486114396,Ap1
152,2.3118168285702394,2.361300470063866,Ap1
153,2.665132198645135,2.8196405380806873,Ap1
154,2.8686047718691703,2.67658985024601,Ap1
155,2.6036758780160656,2.473933070926918,Ap1
156,1.798141914053872,1.493272072940937,Ap1
157,1.2947200979960634,1.4029431601757176,Ap1
158,2.0617285495330964,1.7132996104723284,Ap1
159,1.8448449531363862,1.9647975272099631,Ap1
160,2.524665025038736,2.9478992549491467,Ap1
161,3.9811820959398725,4.4848418018716245,Ap1
162,3.0009973312451836,2.2866576663103526,Ap1
163,2.599540576967487,3.192067733365648,Ap1
164,2.9550527660863835,2.9553624602392534,Ap1
165,3.3809094110921563,2.619755793522874,Ap1
166,3.3908023890050654,2.505327053294585,Ap1
167,2.832460996209405,2.8626380606689863,Ap1
168,2.8317254032294885,2.5089885083604044,Ap1
169,2.4993461525213254,2.160340334156305,Ap1
170,3.5543719842646926,3.1279946508933363,Ap1
171,1.398386254125442,1.3864276707909045,Ap1
172,2.2586490423519483,1.9488194778759176,Ap1
173,1.2808330324799824,1.1879877482579027,Ap1
174,4.070681517120551,3.6977533576639883,Ap1
175,2.39089818049919,2.611504090070119,Ap1
176,2.357823212951803,2.521877203187662,Ap1
177,2.5482101968343844,2.236516593604629,Ap1
178,4.028841539980829,2.8885018364559136,Ap1
179,1.3559840684830173,1.2316798566756872,Ap1
180,1.723426474985292,1.7630530518461713,Ap1
181,2.180202629500714,2.7660203856307186,Ap1
182,2.0514723975820908,2.3243801863213425,Ap1
183,1.925245664920547,1.8323325655854459,Ap1
184,3.0063200700922392,2.3823479023684855,Ap1
185,2.496114124206797,2.1920026762338702,Ap1
186,5.3008185984491165,4.434941160528602,Ap1
187,3.3627912010035814,2.96477747256775,Ap1
188,2.3427686606213007,2.126714083339395,Ap1
189,2.999160837429917,2.9096167953695247,Ap1
190,2.304504846176082,1.7863018149148542,Ap1
191,1.8912192941200594,2.168717586938879,Ap1
192,3.810812564839093,3.2260519682143434,Ap1
193,2.1882867637240313,1.9511505644693368,Ap1
194,1.8185153358598742,1.954115363077723,Ap1
195,3.2500550300798707,3.0605914655103548,Ap1
196,1.8896625948188492,1.7779428372881119,Ap1
197,2.397891101583315,2.0330470343512843,Ap1
198,2.2203413355955983,1.8879453498977992,Ap1
199,3.2417545269287467,3.047448642128233,Ap1
200,2.2091174164324827,1.5613353443143896,Ap1
201,2.4197208473982563,1.8330863859215216,Ap1
202,3.4070803741548112,2.919858435263418,Ap1
203,1.4098903121706772,1.542381871386296,Ap1
204,2.692175703172489,2.6810669183387272,Ap1
205,1.7418010957062513,1.6590708847349145,Ap1
206,1.859954956516215,1.8786525937972591,Ap1
207,1.790915318819637,1.988420247557681,Ap1
208,3.1927156547191755,2.816899930593607,Ap1
209,1.8149508652481379,1.6895956679092772,Ap1
210,1.7713204233855278,1.8498490116407516,Ap1
211,2.3775021136358965,2.2518527621967777,Ap1
212,1.4942327860406734,1.317482529395559,Ap1
213,1.7639042313521287,1.4439473895057622,Ap1
214,2.940622464631655,2.8093256024721103,Ap1
215,2.097856855894707,1.9126921833540769,Ap1
216,3.7291998351860367,3.769183274735182,Ap1
217,1.6406622018524508,1.3689197862724896,Ap1
218,2.9677083186088615,2.3896476377529265,Ap1
219,2.711652146024788,2.2477432137584312,Ap1
220,3.211547146616003,2.387696572325468,Ap1
221,3.35842778845636,2.8577919122833486,Ap1
222,3.9743809826868968,3.407058915481189,Ap1
223,1.8938481356988546,1.5320211007581577,Ap1
224,1.8621868702018163,1.725637022438931,Ap1
225,1.7843581443574144,1.5667965932809023,Ap1
226,1.7621776980942798,1.6954750013092175,Ap1
227,2.2888945731802117,1.996431339758693,Ap1
228,3.218853643893163,2.5056628429866117,Ap1
229,2.216319708578988,2.387275585600172,Ap1
230,3.8572189162426955,3.4882342445407666,Ap1
231,1.9441741890589483,2.067736963594388,Ap1
232,2.622318375879114,2.267647438101216,Ap1
233,3.2134803231822864,3.0795003532362513,Ap1
234,1.8664572316776675,1.7832865820994284,Ap1
235,2.8082504237682047,2.6069851413757097,Ap1
236,2.4504823663051445,2.2016311519786753,Ap1
237,2.285469366452945,2.532848129400696,Ap1
238,2.562973029132898,2.443432447595144,Ap1
239,2.066340363228443,2.6026218250453943,Ap1
240,3.0727234576767923,2.864051111134652,Ap1
241,2.2109920994020995,2.1505145702850057,Ap1
242,1.8932020679364507,1.7960924142997454,Ap1
243,2.7463744440293225,2.2082088367716404,Ap1
244,1.2018790600516744,1.233069478443463,Ap1
245,1.306099425168819,1.156113586553748,Ap1
246,3.052380654633252,2.597972545030788,Ap1
247,2.4114874412795393,2.6248195496126887,Ap1
248,2.0199200547951537,1.5305620698579907,Ap1
249,3.891471783787528,3.229013083062914,Ap1
250,2.4955512816392473,2.351029334647596,Ap1
251,3.6379712312207797,2.8694130683696564,Ap1
252,3.6280376318978313,3.1022255137513106,Ap1
253,3.32686091827974,2.752209065039106,Ap1
254,1.5755309378551297,1.5405272003136343,Ap1
255,2.7833307327601546,2.654639252530821,Ap1
256,2.466122969194569,2.1571339153605704,Ap1
257,2.431611312524263,2.1922883776105984,Ap1
258,2.0999295488101133,1.7724328663432578,Ap1
259,2.646785477027061,1.9736624403176413,Ap1
260,1.0937241914391211,1.0315515481064046,Ap1
261,3.165694629281926,3.0132821561708183,Ap1
262,2.5082193575521874,2.3628505741156323,Ap1
263,2.3453622589848133,1.9835001085486157,Ap1
264,1.1585913570329924,1.0200154501506469,Ap1
265,2.4925861842272954,2.2584727404173366,Ap1
266,1.818859609575862,1.8843652448177661,Ap1
267,1.477060285482549,1.329658950301006,Ap1
268,2.030032534778668,2.1762281340826717,Ap1
269,1.7817678952194822,1.7911591883000173,Ap1
270,2.9023925884078277,3.0330121033898667,Ap1
271,1.7697819768628311,1.6387750989594576,Ap1
272,2.849772860643251,3.0135532917822485,Ap1
273,3.9492460705569528,3.498224442203429,Ap1
274,1.9727888477935374,2.250321058411782,Ap1
275,2.3300132838931287,1.9120270278081342,Ap1
276,1.577822825109819,1.3581332737784302,Ap1
277,4.8389453679089085,4.716892927794498,Ap1
278,3.3852984046108925,3.8769057380611462,Ap1
279,4.538296748829679,4.746210859315175,Ap1
280,2.8678830387194667,2.398030015300838,Ap1
281,2.706152393418973,3.100855587338695,Ap1
282,2.332847034488432,2.3499812662999378,Ap1
283,2.352632968413089,2.8019881130367614,Ap1
284,2.812365915058133,2.638247242027819,Ap1
285,2.596768036882831,2.749740996057247,Ap1
286,2.363469157410237,2.0967855968660833,Ap1
287,1.2471935675134553,1.14675180410628,Ap1
288,2.4773927468966312,2.8838249867081314,Ap1
289,3.1099247937831342,2.92061422531379,Ap1
290,3.152790961643142,2.804228536205785,Ap1
291,3.401565738552913,2.827318354424542,Ap1
292,3.985073685492345,3.013705630833373,Ap1
293,1.874297350444178,1.7399583461320682,Ap1
294,1.9641136680077658,2.094044511304953,Ap1
295,3.0937761810204636,3.561387479420003,Ap1
