MeltWater_F,MeltWater_Cl,sample
1.5235518334966458,1.3271704648056593,Ap1
1.2968195251736678,1.1091463449995669,Ap1
1.0786834128722713,0.9055936453634297,Ap1
1.380786527434868,1.1891329990101618,Ap1
1.8245896106074893,1.6264858110983784,Ap1
2.8214573401375165,2.6945769498318017,Ap1
5.537434489153291,6.192920740662252,Ap1
1.730604911739266,1.5318521808627628,Ap1
3.0494475299730937,2.9550742695463827,Ap1
3.4217582349988964,3.3933250384975056,Ap1
2.788901828232816,2.6578681022097,Ap1
2.2314756663726873,2.0483712336178224,Ap1
4.503026719606581,4.757155413841855,Ap1
0.9477345964981945,0.786416154468819,Ap1
2.5914042979379066,2.4377971290186533,Ap1
2.7049789726497457,2.5638024609738856,Ap1
2.873024773652879,2.7529731962234685,Ap1
5.5393218311442975,6.195662792896164,Ap1
2.5305417129968433,2.3708877533530592,Ap1
1.7378600129008142,1.5391192617425897,Ap1
2.057836657227773,1.8659271090651415,Ap1
2.044828672446501,1.85240294899803,Ap1
2.5030940463512645,2.3408536931019492,Ap1
4.32245357100915,4.519858831349832,Ap1
3.2889408768655537,3.235154700666175,Ap1
2.8372185654396342,2.712392839065456,Ap1
5.53266897302381,6.185999132051726,Ap1
5.73737209645945,6.485968214001928,Ap1
3.2146161098608586,3.1475281606819823,Ap1
8.853456869050614,11.828761169274445,Ap1
3.1381306961634574,3.0580175938037293,Ap1
3.344856855547737,3.3014967783361477,Ap1
2.7224294166598746,2.583294989860938,Ap1
3.700069147415081,3.7313568944926443,Ap1
3.2964415382414014,3.2440330431740785,Ap1
2.910759674822461,2.795899227487536,Ap1
3.8584243036894126,3.9276917872095467,Ap1
3.796016791479393,3.8499692072740754,Ap1
2.6251144303032112,2.4750410893683616,Ap1
2.5751640688172857,2.4199014105651786,Ap1
3.4871118651605664,3.4718995220439037,Ap1
3.407596850934105,3.376363715337152,Ap1
2.9697284161669475,2.8633084604599564,Ap1
4.2966623199840335,4.486281465095619,Ap1
0.9332125931449152,0.7733423041254633,Ap1
4.9766529212175294,5.39816883745883,Ap1
1.4587885219287702,1.264235761195369,Ap1
3.428266924297459,3.4011283512966264,Ap1
1.7453919537197906,1.5466704013555876,Ap1
1.0116780425438625,0.844323670375677,Ap1
5.007606246596176,5.4410126660300415,Ap1
1.5301953303753622,1.3336558864454569,Ap1
4.79607945058562,5.1505701689166825,Ap1
2.6223963274472526,2.4720331724990805,Ap1
1.9398537751895368,1.7439986180310292,Ap1
2.0648300085997837,1.8732062579201003,Ap1
3.9442431462688825,4.035310466601086,Ap1
3.196789245613386,3.126605327045439,Ap1
2.621292226775577,2.4708115927905157,Ap1
1.4114684563275806,1.218583243908084,Ap1
3.9813508462105545,4.082110018982983,Ap1
1.4584561456642813,1.2639141191880578,Ap1
3.2381295240949473,3.175181017539843,Ap1
1.443828816317388,1.2497728795678171,Ap1
3.0602476283508153,2.967562644466374,Ap1
2.359943041009661,2.1856334345985693,Ap1
2.6141518668068,2.4629148875893647,Ap1
3.0389374064866317,2.9429340788299463,Ap1
2.537844680244511,2.3788936051171774,Ap1
1.2137070059111763,1.0308613808033915,Ap1
3.813621747337058,3.8718486974041753,Ap1
3.850784095129904,3.918152335384168,Ap1
2.483152516866173,2.3190879398067548,Ap1
4.948032370171815,5.358658762795812,Ap1
1.3291006243430565,1.1397911412910264,Ap1
1.7858948804220454,1.587394496911697,Ap1
1.243139944627097,1.0584830202656654,Ap1
3.619213514197949,3.63222915107332,Ap1
3.297312018737487,3.245063828035552,Ap1
2.4166467445843343,2.2468325271560854,Ap1
1.863620644510142,1.6660996987373495,Ap1
2.935456677097294,2.824082523437698,Ap1
2.7331856712475795,2.5953274793886485,Ap1
3.036130876158491,2.939694419144623,Ap1
3.4047887146718923,3.373003108467117,Ap1
1.569504411314808,1.3721415202337934,Ap1
1.7905626283936869,1.5921004939666705,Ap1
1.5060178100129038,1.310079963849817,Ap1
2.514137227540222,2.3529269588676525,Ap1
4.752416690299811,5.091297258533223,Ap1
2.890249106691307,2.772546711375677,Ap1
1.3359573620156158,1.1463174110745287,Ap1
2.9278187560091484,2.815358913642951,Ap1
5.1026178663818875,5.573261130107608,Ap1
3.333280538313644,3.28773240596085,Ap1
2.9985836647678075,2.8964397249200466,Ap1
2.142575461628956,1.954518688597618,Ap1
5.875362022234208,6.6912731891922235,Ap1
3.4920177920348037,3.4778177680391265,Ap1
5.460695920059519,6.081817519783163,Ap1
1.269741406789001,1.0835435144045604,Ap1
